device_id,seq,timestamp,arrival_time,duplicate_flag,gap_flag,payload_len,network_delay_s
11268,78,2025-12-12 17:40:55.617548,2025-12-12 17:40:57.176148,0,0,60,1.5586
11268,79,2025-12-12 17:40:55.717996,2025-12-12 17:40:57.271952,0,0,59,1.553956
11268,80,2025-12-12 17:40:55.818416,2025-12-12 17:40:57.373468,0,0,60,1.555052
11268,81,2025-12-12 17:40:55.918915,2025-12-12 17:40:57.475209,0,0,60,1.556294
11268,82,2025-12-12 17:40:56.019345,2025-12-12 17:40:57.577574,0,0,59,1.558229
11268,83,2025-12-12 17:40:56.119789,2025-12-12 17:40:57.677957,0,0,59,1.558168
11268,84,2025-12-12 17:40:56.220197,2025-12-12 17:40:57.779061,0,0,60,1.558864
11268,85,2025-12-12 17:40:56.320635,2025-12-12 17:40:57.881408,0,0,60,1.560773
11268,86,2025-12-12 17:40:56.421067,2025-12-12 17:40:57.973207,0,0,60,1.55214
11268,87,2025-12-12 17:40:56.521595,2025-12-12 17:40:58.073635,0,0,60,1.55204
11268,88,2025-12-12 17:40:56.622113,2025-12-12 17:40:58.175731,0,0,59,1.553618
11268,89,2025-12-12 17:40:56.722956,2025-12-12 17:40:58.277164,0,0,60,1.554208
11268,90,2025-12-12 17:40:56.823512,2025-12-12 17:40:58.378718,0,0,60,1.555206
11268,91,2025-12-12 17:40:56.924387,2025-12-12 17:40:58.482477,0,0,60,1.55809
11268,92,2025-12-12 17:40:57.024703,2025-12-12 17:40:58.589387,0,0,60,1.564684
11268,93,2025-12-12 17:40:57.125391,2025-12-12 17:40:58.683222,0,0,60,1.557831
11268,94,2025-12-12 17:40:57.225866,2025-12-12 17:40:58.786462,0,0,60,1.560596
11268,95,2025-12-12 17:40:57.326420,2025-12-12 17:40:58.890389,0,0,60,1.563969
11268,96,2025-12-12 17:40:57.426855,2025-12-12 17:40:58.978717,0,0,60,1.551862
11268,97,2025-12-12 17:40:57.527276,2025-12-12 17:40:59.079173,0,0,60,1.551897
11268,98,2025-12-12 17:40:57.627747,2025-12-12 17:40:59.179996,0,0,60,1.552249
11268,99,2025-12-12 17:40:57.728190,2025-12-12 17:40:59.283806,0,0,60,1.555616
11268,100,2025-12-12 17:40:57.828617,2025-12-12 17:40:59.379909,0,0,61,1.551292
11268,101,2025-12-12 17:40:57.929125,2025-12-12 17:40:59.482598,0,0,61,1.553473
11268,102,2025-12-12 17:40:58.029593,2025-12-12 17:40:59.585978,0,0,61,1.556385
11268,103,2025-12-12 17:40:58.130053,2025-12-12 17:40:59.682293,0,0,60,1.55224
11268,104,2025-12-12 17:40:58.230550,2025-12-12 17:40:59.783690,0,0,61,1.55314
11268,105,2025-12-12 17:40:58.331020,2025-12-12 17:40:59.883188,0,0,61,1.552168
11268,106,2025-12-12 17:40:58.431521,2025-12-12 17:40:59.983616,0,0,61,1.552095
11268,107,2025-12-12 17:40:58.531955,2025-12-12 17:41:00.083955,0,0,61,1.552
11268,108,2025-12-12 17:40:58.632478,2025-12-12 17:41:00.186728,0,0,61,1.55425
11268,109,2025-12-12 17:40:58.732972,2025-12-12 17:41:00.285193,0,0,61,1.552221
11268,110,2025-12-12 17:40:58.833429,2025-12-12 17:41:00.386099,0,0,61,1.55267
11268,111,2025-12-12 17:40:58.934291,2025-12-12 17:41:00.486539,0,0,61,1.552248
11268,112,2025-12-12 17:40:59.034865,2025-12-12 17:41:00.587333,0,0,61,1.552468
11268,113,2025-12-12 17:40:59.135316,2025-12-12 17:41:00.687229,0,0,61,1.551913
11268,114,2025-12-12 17:40:59.235802,2025-12-12 17:41:00.787633,0,0,61,1.551831
11268,115,2025-12-12 17:40:59.336260,2025-12-12 17:41:00.888180,0,0,61,1.55192
11268,116,2025-12-12 17:40:59.436733,2025-12-12 17:41:00.988785,0,0,61,1.552052
11268,117,2025-12-12 17:40:59.537281,2025-12-12 17:41:01.089182,0,0,61,1.551901
11268,118,2025-12-12 17:40:59.637900,2025-12-12 17:41:01.189463,0,0,61,1.551563
11268,119,2025-12-12 17:40:59.738379,2025-12-12 17:41:01.289729,0,0,61,1.55135
